slim;smart, intelligent;3
slordig;sloppy;3
smaken;to taste;9
smoking, de;tuxedo, the;10
snack, de;snack, the;5
snappen;to understand;6
snel;fast, quickly;3
snor, de;mustache, the;3
soep, de;soup, the;5
sok, de;sock, the;10
somber;miserable;3
sommige;some;5
soms;sometimes;4
souvenir, het;souvenir, the;8
spaghetti, de;spaghetti, the;5
Spanje;Spain;1
speculaas, de;ginger cookie, the;5
spek, het;bacon, the;5
spelen;to play;2
spellen;to spell;1
spijkerbroek, de;jeans, the;10
spoor, het;track, the;6
sporten;to go sporting, to exercise;4
sportief;sporty;3
spreken;to speak;1
springen;to snap / to jump;10
staan;to stand;7
staan;to suit;10
stamboom, de;family tree, the;3
station, het;station, the;6
sterk;strong;3
stil;quiet;9
stoel, de;chair, the;6
stof, het;dust, the;4
stokbrood, het;French bread, the;5
straat, de;street, the;1
strak;tight;10
straks;later;5
strand, het;beach, the;8
stress, de;stress, the;8
stressvol;stressful;8
strijken;to iron;8
student, de;student, the;1
studeren;to study;1
stuk, het;piece, the;5
suiker, de;sugar, the;7
supermarkt, de;supermarket, the;5
taal, de;language, the;1
taart, de;pie, cake, the;9
tafel, de;table, the;6
tandenpoetsen;to brush one’s teeth;4
tante, de;aunt, the;3
tap, de;bar, the;9
tarief, het;price, the;2
tas, de;bag, the;5
tasje, het;little bag, the;5
taxi, de;taxi, the;6
te;too;7
teen, de;toe, the;10
tegenover;across from;6
tegenovergestelde, het;opposite, the;3
tekenen;to draw;1
tekst, de;text, the;1
telefoon, de;telephone, the;6
telefoonnummer, het;phone number, the;1
televisie, de;television, the;4
tenminste;at least;10
tennissen;to play tennis;2
tent, de;tent, the;8
terras, het;terrace, the;7
terug;back;6
terugweg, de;way back, the;9
tevoorschijn komen;to appear;10
thee, de;tea, the;4
thuisblijven;to stay at home;2
tien;ten;1
tijd, de;time, the;2
tip, de;helpful hint, the;9
toch;anyway / nevertheless;4
toilet, het;toilet, the;6
toiletpapier, het;toilet paper, the;5
tomaat, de;tomato, the;5
tomatensaus, de;tomato sauce, the;4
tomatensoep, de;tomato soup, the;9
tonijn, de;tuna, the;9
topsporter, de;professional athlete, the;3
tot;till;5
tot slot;finally;6
totaal;total;5
trap, de;staircase, the;7
trein, de;train, the;6
train;ticket, the;6
trouwens;by the way;8
trui, de;jumper, the;8
T-shirt, het;T-shirt, the;4
tuin, de;garden, the;7
twee;two;1
tweede;second;5
tweepersoons;two persons;6
u;you (formal);1
uit;from;1
uit eten gaan;to go out for dinner;9
uitchecken;to check out;6
uiterlijk, het;appearance, the;3
uitgaan;to go out;4
